# x_m,y_m,w_tr_right_m,w_tr_left_m
739.547437,149.838531,6.737,6.737
738.716946,141.577732,6.281,6.281
736.938865,133.969032,6.516,6.516
731.896796,123.180465,6.659,6.659
726.128536,113.304636,7.058,7.058
718.191499,103.718983,7.650,7.650
709.329099,95.291580,8.216,8.216
688.700380,82.460059,9.193,9.193
654.304007,59.878039,8.870,8.870
608.043018,31.351806,8.786,8.786
505.476395,-35.061253,9.173,9.173
466.503800,-60.976808,8.424,8.424
443.710658,-76.616697,8.396,8.396
422.960004,-89.379448,7.226,7.226
403.528892,-102.079894,5.518,5.518
395.364003,-105.165885,4.423,4.423
387.043644,-106.678388,4.069,4.069
366.320499,-104.980646,4.098,4.098
356.933252,-103.461546,4.081,4.081
348.018195,-100.661783,4.023,4.023
337.003591,-94.551025,4.020,4.020
326.973876,-86.293420,4.002,4.002
310.892664,-69.293695,3.924,3.924
180.952618,89.033687,3.758,3.758
174.233419,97.015743,3.858,3.858
164.585855,104.789482,3.922,3.922
156.969094,107.328029,4.016,4.016
149.581411,109.220872,4.126,4.126
136.872947,109.482919,4.148,4.148
125.489956,105.664648,4.122,4.122
119.366665,101.088867,4.211,4.211
113.165379,95.342057,4.093,4.093
108.943991,89.056425,4.116,4.116
105.938713,82.752899,4.075,4.075
104.026555,74.895671,4.104,4.104
103.826679,66.340833,3.889,3.889
105.605411,53.713523,3.678,3.678
118.588455,9.714972,3.908,3.908
123.395159,-6.248119,3.759,3.759
130.034034,-23.678853,3.965,3.965
135.950840,-33.560207,3.963,3.963
143.751375,-42.514244,4.090,4.090
157.276986,-51.013879,3.995,3.995
178.859155,-59.158048,4.018,4.018
195.151355,-67.068357,4.294,4.294
201.877863,-72.523889,4.704,4.704
208.056429,-77.308987,5.284,5.284
212.465755,-81.726677,5.750,5.750
216.269534,-85.898441,5.752,5.752
218.120741,-88.269723,6.272,6.272
237.793659,-115.822488,6.496,6.496
248.680577,-131.603104,6.457,6.457
257.701494,-148.178367,6.511,6.511
259.557672,-161.980800,6.438,6.438
257.540760,-170.909766,6.267,6.267
254.576271,-178.144504,6.286,6.286
249.705125,-185.239892,6.434,6.434
226.580188,-202.164124,7.593,7.593
190.041498,-230.555188,5.704,5.704
173.207644,-240.389733,6.383,6.383
162.786004,-242.628564,6.268,6.268
155.701317,-244.039910,6.420,6.420
141.671309,-241.262823,6.537,6.537
130.106223,-234.135870,6.380,6.380
121.737722,-229.460582,6.436,6.436
114.142788,-223.110495,6.491,6.491
106.570306,-214.330015,6.659,6.659
98.524251,-204.591093,6.837,6.837
88.746187,-187.177746,6.651,6.651
38.966325,-81.533105,6.665,6.665
8.293604,-17.397075,6.659,6.659
0.011360,-1.278369,6.534,6.534
-45.869043,95.835052,6.630,6.630
-98.552465,196.541213,6.378,6.378
-113.225041,225.145713,6.051,6.051
-117.535745,236.575198,5.982,5.982
-114.920172,245.915995,6.769,6.769
-98.409801,282.162307,5.687,5.687
-68.193504,341.148559,7.115,7.115
-57.887824,358.774754,7.341,7.341
-42.859245,380.955504,7.226,7.226
-28.921795,397.790263,7.356,7.356
-3.934427,425.425056,7.424,7.424
34.965056,467.429992,3.942,3.942
54.413053,488.670110,4.749,4.745
95.792762,528.916392,4.902,4.902
166.023742,597.742830,6.191,6.191
190.677957,622.889398,6.513,6.513
210.057036,643.744348,6.725,6.725
227.688129,663.163757,6.835,6.835
233.379864,666.116083,7.746,7.746
240.861293,669.260566,8.637,8.637
250.721618,667.898056,8.261,8.261
260.465862,662.137796,7.386,7.386
270.978381,647.114893,7.011,7.011
276.743086,631.693704,6.914,6.914
279.071859,620.141340,6.894,6.894
279.661087,611.502156,6.954,6.954
279.879588,594.421081,6.700,6.700
280.228921,577.644912,6.384,6.384
282.544789,566.692124,6.400,6.400
287.312505,556.668392,6.387,6.387
296.147043,544.092498,6.501,6.501
309.981919,530.917764,6.339,6.339
324.600368,520.524330,6.513,6.513
350.428909,504.373262,6.432,6.432
415.221424,468.626515,6.396,6.396
474.154550,439.689102,6.488,6.488
500.651384,425.936881,6.501,6.501
533.666158,412.467294,6.454,6.454
577.389125,398.620042,6.502,6.502
598.540609,392.568004,6.595,6.595
635.981052,384.005781,6.594,6.594
673.978969,377.731573,6.419,6.419
717.645946,370.929986,6.448,6.448
743.231492,367.751509,6.431,6.431
765.509995,366.050452,6.455,6.455
793.976598,366.193545,6.474,6.474
818.960269,367.173121,6.406,6.406
866.997157,373.579601,6.354,6.354
918.546976,383.471472,6.477,6.477
942.671133,390.226718,6.488,6.488
965.675546,395.245834,6.559,6.559
1009.205994,412.407813,6.531,6.531
1051.708179,428.967701,6.566,6.566
1081.966228,440.436314,6.502,6.502
1219.477741,490.195238,6.826,6.826
1279.312722,510.704549,7.033,7.033
1284.968842,512.968796,7.046,7.046
1322.731644,528.397989,6.835,6.835
1329.646808,528.576086,6.814,6.814
1338.720538,524.998049,6.868,6.868
1344.926752,519.612280,6.890,6.890
1346.856516,511.467362,6.840,6.840
1343.181372,503.276324,6.949,6.949
1293.691490,472.978826,6.421,6.421
1241.391974,441.386876,6.009,6.009
1239.581677,440.303362,6.395,6.395
1138.893930,374.201331,6.420,6.420
1126.861128,365.837786,6.394,6.394
1081.602101,335.446976,6.448,6.448
1016.778682,291.699934,6.473,6.473
1002.767463,282.370873,6.537,6.537
984.001289,274.845308,6.548,6.548
973.080020,274.889788,6.558,6.558
956.107366,274.765603,6.428,6.428
892.309349,284.326965,6.475,6.475
779.557349,301.759545,6.455,6.455
725.486394,310.138964,6.514,6.514
711.800213,309.122538,6.088,6.088
705.237964,306.426796,6.307,6.307
702.400546,303.009582,6.322,6.322
700.748297,295.321482,6.415,6.415
698.766455,275.436446,6.511,6.511
698.774542,260.563549,6.578,6.578
701.734574,235.383292,6.488,6.488
707.675262,212.267157,6.469,6.469
718.440161,192.385803,6.612,6.612
732.523763,174.562778,6.429,6.429
738.269416,161.538387,6.484,6.484
