# x_m,y_m,w_tr_right_m,w_tr_left_m
-621.574595,-89.064732,5.400,5.400
-578.408591,-39.999354,5.509,5.509
-507.973468,39.992616,5.411,5.411
-437.260556,121.569486,5.549,5.549
-420.035396,140.995566,5.481,5.481
-412.704218,150.258515,5.481,5.481
-404.483103,158.621225,5.546,5.546
-394.808225,168.662945,5.524,5.524
-384.375905,177.447488,5.449,5.449
-379.264996,182.397394,5.443,5.443
-373.370015,185.689301,5.448,5.448
-365.923717,189.366852,5.450,5.450
-356.458738,194.269528,5.488,5.488
-346.010697,198.298692,5.425,5.425
-338.090314,200.721952,5.436,5.436
-330.954395,202.992999,5.471,5.471
-321.779297,205.009139,5.431,5.431
-133.391389,249.323598,5.425,5.425
-104.806108,256.073096,5.306,5.306
49.205946,292.265001,5.414,5.414
56.069073,293.628267,5.536,5.536
76.590168,298.872722,5.484,5.484
81.698367,300.350916,5.438,5.438
85.705985,302.611777,5.370,5.370
88.744123,305.290217,5.462,5.462
91.936362,308.257611,5.466,5.466
94.808146,311.124620,5.447,5.447
97.639028,315.667922,5.329,5.329
99.507506,318.463097,5.249,5.249
101.588920,324.956143,5.382,5.382
105.240805,338.204265,5.336,5.336
107.054102,342.478390,5.349,5.349
109.653828,346.653576,5.370,5.370
112.546999,350.369881,5.059,5.059
114.538852,353.442091,4.889,4.889
117.320883,355.991293,4.676,4.676
119.254011,357.686763,4.947,4.947
123.597553,360.726479,5.163,5.163
130.257383,364.837831,5.823,5.823
142.771769,370.696577,5.201,5.201
146.632942,371.651586,5.225,5.225
156.182024,374.346557,5.298,5.298
188.216392,381.591112,3.766,3.766
218.582892,387.375162,4.123,4.123
279.051292,399.840334,5.146,5.146
288.822549,401.798810,5.426,5.426
296.778805,403.242397,5.605,5.605
302.839823,403.484214,5.628,5.628
307.430829,402.246051,5.658,5.658
313.485289,400.411543,5.598,5.598
318.538398,397.749747,5.706,5.706
322.587087,393.882757,5.837,5.837
328.188509,388.650390,5.979,5.979
332.943249,384.840840,6.198,6.198
337.616380,379.213963,6.320,6.320
341.573593,372.855609,6.463,6.463
344.159600,366.551272,6.477,6.477
345.502633,359.815717,6.513,6.513
346.007985,354.642308,6.663,6.663
345.674278,348.355420,6.756,6.756
344.600176,341.513040,7.133,7.133
342.071990,332.805900,7.352,7.352
336.395618,325.034896,7.218,7.218
331.030028,317.221646,7.042,7.042
324.688017,310.485284,7.145,7.145
305.029617,291.136653,6.925,6.925
175.533083,165.053544,8.061,8.061
141.500957,132.993475,7.122,7.122
-0.296488,-2.899979,7.390,7.390
-31.466783,-32.347256,7.355,7.355
-135.335913,-133.182132,7.563,7.563
-158.825505,-153.833482,7.084,7.084
-185.838855,-176.547160,7.822,7.822
-225.309901,-205.586425,7.569,7.569
-259.349997,-226.358014,7.680,7.680
-288.472544,-243.526060,9.220,9.220
-294.147961,-246.147898,9.155,9.155
-296.670155,-246.499224,9.193,9.193
-302.660903,-245.832657,9.819,9.819
-305.872999,-244.643586,9.667,9.667
-308.762737,-242.968396,9.273,9.273
-311.328123,-241.183371,9.267,9.267
-313.428349,-238.434179,9.231,9.231
-314.570648,-235.987166,9.037,9.037
-315.407185,-232.208637,9.007,9.007
-315.349751,-228.973654,9.158,9.158
-314.668168,-224.905673,9.369,9.369
-308.625768,-202.516838,8.906,8.906
-304.424351,-190.064482,8.552,8.552
-299.437427,-179.181046,8.293,8.293
-294.359303,-167.938131,8.000,8.000
-287.793845,-155.512109,7.819,7.819
-280.190649,-144.218668,7.509,7.509
-271.732834,-131.303701,7.138,7.138
-266.146124,-121.210376,7.003,7.003
-262.428239,-114.907864,6.803,6.803
-261.075122,-109.601363,6.739,6.739
-259.750072,-104.913390,6.843,6.843
-258.976277,-95.067525,6.840,6.840
-259.467082,-88.204683,6.743,6.743
-261.320246,-78.255574,6.681,6.681
-264.485908,-70.333497,6.678,6.678
-268.243612,-62.682445,6.664,6.664
-273.103072,-56.412661,6.686,6.686
-279.645995,-49.508516,6.531,6.531
-286.415379,-44.525810,6.534,6.534
-294.581624,-39.769876,6.441,6.441
-300.958203,-37.811047,6.418,6.418
-310.012387,-36.221946,6.443,6.443
-319.128905,-35.248492,6.447,6.447
-330.333291,-35.451271,6.561,6.561
-360.027327,-39.047688,6.497,6.497
-388.984870,-43.030085,6.500,6.500
-411.387140,-47.940834,6.531,6.531
-427.529778,-52.766894,6.477,6.477
-440.283204,-57.036507,6.472,6.472
-450.416114,-61.550782,6.515,6.515
-457.404867,-65.484414,6.409,6.409
-461.770056,-68.859839,6.544,6.544
-467.054086,-73.074773,6.482,6.482
-471.642537,-77.712775,6.374,6.374
-475.213411,-81.744109,6.285,6.285
-477.514587,-86.115185,6.178,6.178
-479.020598,-89.653000,6.117,6.117
-479.821149,-92.404541,6.038,6.038
-480.270147,-95.654498,6.033,6.033
-480.309527,-97.893944,5.961,5.961
-480.201866,-100.162588,6.102,6.102
-480.009223,-101.920331,6.242,6.242
-479.429060,-105.361330,6.288,6.288
-478.043764,-110.125960,6.352,6.352
-475.795728,-114.693078,6.261,6.261
-474.122797,-117.269841,6.365,6.365
-470.604427,-120.632227,6.465,6.465
-465.619907,-125.128236,6.456,6.456
-459.448212,-129.617948,6.440,6.440
-455.151683,-132.162883,6.197,6.197
-452.390204,-133.388514,6.342,6.342
-449.382120,-134.456431,6.441,6.441
-445.753050,-134.468897,6.924,6.924
-419.500097,-131.277022,9.435,9.435
-412.049767,-131.118448,9.879,9.879
-405.533921,-132.162603,10.530,10.530
-398.491193,-133.532925,10.699,10.699
-394.964673,-134.525379,10.665,10.665
-391.841512,-135.949084,10.477,10.477
-389.306349,-137.684118,10.175,10.175
-386.156941,-139.982380,10.146,10.146
-384.931749,-141.900771,9.814,9.814
-383.378171,-144.255947,9.652,9.652
-381.939692,-147.830109,9.439,9.439
-380.825900,-152.348418,8.725,8.725
-379.969669,-159.570927,7.409,7.409
-380.211375,-168.411745,6.425,6.425
-380.844379,-175.789302,6.335,6.335
-388.780905,-230.982701,6.571,6.571
-393.340158,-257.679089,6.453,6.453
-406.500512,-322.090331,6.468,6.468
-409.284567,-335.547174,6.430,6.430
-417.016822,-372.079257,4.759,4.759
-421.427623,-389.290585,4.706,4.706
