# x_m,y_m,z
508.237232,-123.307209,50.8237232
503.956531,-125.884008,50.3956531
499.595017,-128.321883,49.9595017
495.165585,-130.634247,49.5165585
490.675116,-132.825942,49.0675116
486.128285,-134.898184,48.6128285
481.529491,-136.852216,48.1529491
476.882895,-138.689781,47.6882895
472.192521,-140.412543,47.2192521
467.462309,-142.022479,46.7462309
462.696335,-143.523398,46.2696335
457.898901,-144.920718,45.7898901
453.074029,-146.220145,45.3074029
448.225275,-147.42743,44.8225275
443.355877,-148.548434,44.3355877
438.46881,-149.589409,43.846881
433.566134,-150.554497,43.3566134
428.649206,-151.444384,42.8649206
423.719205,-152.257815,42.3719205
418.777504,-152.997176,41.8777504
413.826177,-153.670652,41.3826177
408.867664,-154.288378,40.8867664
403.903614,-154.858138,40.3903614
398.934622,-155.3833,39.8934622
393.961145,-155.865094,39.3961145
388.983758,-156.304805,38.8983758
384.002927,-156.703805,38.4002927
379.019083,-157.063469,37.9019083
374.032635,-157.385202,37.4032635
369.043952,-157.670421,36.9043952
364.053378,-157.920554,36.4053378
359.061225,-158.137033,35.9061225
354.067769,-158.321289,35.4067769
349.073263,-158.474747,34.9073263
344.077938,-158.598752,34.4077938
339.081981,-158.694166,33.9081981
334.085554,-158.761148,33.4085554
329.088866,-158.799504,32.9088866
324.092111,-158.809403,32.4092111
319.095371,-158.793423,31.9095371
314.0987,-158.75676,31.40987
309.102143,-158.705434,30.9102143
304.10568,-158.645446,30.410568
299.109256,-158.582101,29.9109256
294.112839,-158.518206,29.4112839
289.11642,-158.454422,28.911642
284.12,-158.390802,28.412
279.123577,-158.327343,27.9123577
274.127152,-158.26404,27.4127152
269.130726,-158.200891,26.9130726
264.134297,-158.137891,26.4134297
259.137867,-158.075036,25.9137867
254.141435,-158.012324,25.4141435
249.145001,-157.94975,24.9145001
244.148565,-157.88731,24.4148565
239.152128,-157.825002,23.9152128
234.155689,-157.76282,23.4155689
229.159249,-157.700761,22.9159249
224.162807,-157.638822,22.4162807
219.166364,-157.576999,21.9166364
214.16992,-157.515288,21.416992
209.173474,-157.453685,20.9173474
204.177027,-157.392187,20.4177027
199.180578,-157.33079,19.9180578
194.184128,-157.269489,19.4184128
189.187678,-157.208283,18.9187678
184.191226,-157.147166,18.4191226
179.194773,-157.086135,17.9194773
174.198319,-157.025186,17.4198319
169.201864,-156.964315,16.9201864
164.205408,-156.903519,16.4205408
159.208951,-156.842795,15.9208951
154.212494,-156.782137,15.4212494
149.216036,-156.721543,14.9216036
144.219577,-156.661009,14.4219577
139.223117,-156.600531,13.9223117
134.226657,-156.540106,13.4226657
129.230196,-156.479728,12.9230196
124.233734,-156.419396,12.4233734
119.237272,-156.359105,11.9237272
114.24081,-156.298851,11.424081
109.244347,-156.238631,10.9244347
104.247884,-156.178441,10.4247884
99.251421,-156.118277,9.9251421
94.254957,-156.058135,9.4254957
89.258493,-155.998012,8.9258493
84.262029,-155.937905,8.4262029
79.265565,-155.877808,7.9265565
74.2691,-155.817719,7.42691
69.272636,-155.757633,6.9272636
64.276171,-155.697548,6.4276171
59.279707,-155.637459,5.9279707
54.283243,-155.577363,5.4283243
49.286779,-155.517255,4.9286779
44.290315,-155.457133,4.4290315
39.293851,-155.396992,3.9293851
34.297388,-155.336828,3.4297388
29.300924,-155.276638,2.9300924
24.304462,-155.216419,2.4304462
19.307999,-155.156166,1.9307999
14.311537,-155.095876,1.4311537
9.315076,-155.035544,0.9315076
4.318615,-154.975168,0.4318615
-0.677845,-154.914743,-0.0677845
-5.674305,-154.854267,-0.5674305
-10.670764,-154.793734,-1.0670764
-15.667222,-154.733141,-1.5667222
-20.66368,-154.672485,-2.066368
-25.660137,-154.611762,-2.5660137
-30.656592,-154.550968,-3.0656592
-35.653047,-154.490099,-3.5653047
-40.649501,-154.429151,-4.0649501
-45.645954,-154.368122,-4.5645954
-50.642406,-154.307007,-5.0642406
-55.638857,-154.245802,-5.5638857
-60.635307,-154.184504,-6.0635307
-65.631755,-154.123109,-6.5631755
-70.628202,-154.061613,-7.0628202
-75.624648,-154.000012,-7.5624648
