# x_m,y_m,width
0.0,0.0,12.411202975814673
73.36762453557458,9.904139006510377,10.670892414273444
227.85984933481086,28.271886500529945,9.017525377509005
370.0009259006474,44.13305426482111,10.405549657532097
389.3177829942433,45.782395283691585,10.561127514756553
404.7790578814456,43.303133021108806,12.772593287308574
411.6887718527578,41.598050970584154,11.924207900260761
417.42922143405303,40.469960950315,11.990704602591384
430.20401707396377,37.22116012685001,11.996664156253049
440.8308424516581,32.63376262225211,12.030661206583716
453.21579683513846,27.32425924576819,12.007675752218518
463.0487385826418,20.60132408235222,12.030505346123407
471.7649146913318,14.185819493606687,12.041893999631366
477.1432740234304,9.137268704362214,11.980349297099568
480.1980279184645,5.374822380952537,12.914915118994934
484.5561405904591,-0.09421162959188223,11.688816913224157
486.64028705796227,-3.394004416652024,11.628464385615551
495.95850945741404,-25.01053328625858,11.798969146790661
500.06687429745216,-35.35077931638807,11.792758842071036
503.9839542614063,-46.957939500920475,11.826498618574165
508.6702872168971,-58.62587376125157,10.391343248001153
516.0852191887097,-82.1759795639664,11.776402654509342
522.7814631091896,-106.28543821070343,11.717195880065931
530.6247625143733,-136.79405307769775,11.55445271201931
534.5790871708887,-153.3788039786741,11.547129278126684
539.6466260661837,-176.45377015788108,11.697872888664708
543.6856860212283,-200.5416994486004,11.548692687515313
547.9153749988182,-228.12383499369025,11.615859431101118
549.9917999181198,-243.20512185804546,11.619998155321602
552.4967855124269,-264.65683742798865,11.741905458779003
554.7204406243982,-292.3365915007889,11.572850756506954
556.9385091990698,-322.28510535974056,11.571477982249412
563.2627543660346,-413.9721833821386,11.50724511197592
564.5306414955994,-430.36209036875516,11.589483979135755
565.8711209894391,-441.98896880913526,11.450264420830631
567.3874783947831,-453.39976233430207,11.329338223494723
570.2046782005345,-463.59938823711127,11.4652466434039
574.2776920859469,-475.1095287138596,11.51824875203243
577.490580286365,-484.0773339839652,11.73162714579618
580.3536048372043,-490.7380747394636,11.785978563094348
583.6206397779752,-497.7475025979802,11.870194330500729
587.4980217694538,-504.1514838328585,11.73756220856896
590.5805674620206,-509.8848624061793,11.708028744991823
594.2710356054595,-516.0534688606858,13.856871781930467
597.8995712632313,-521.4721399787813,11.89557285803559
601.6931596751092,-526.2439462505281,11.989897500319376
