# x_m,y_m,width
0.0,0.0,13.66866631153685
-11.852052916336106,-36.323899573646486,13.132930514380655
-21.253458195569692,-65.67031347751617,15.108728490681244
-29.494591626920737,-96.91360905626789,13.578749768504752
-39.59376818002784,-131.21526512596756,13.320877717335705
-123.1962425945676,-372.07221142202616,13.011490228782725
-124.21149703467381,-374.6725737415254,13.193272570129366
-124.64680514973588,-377.35436258185655,13.262315981705477
-124.47494192459271,-380.20153161976486,13.112123218332163
-123.54196946966113,-382.1888304874301,12.842818137079615
-122.0297969734238,-383.61000454146415,13.625663916312714
-118.8531975739752,-383.92407268937677,13.491854327636766
-115.31618960003834,-384.4583653854206,13.931764354282194
-111.7116695883451,-384.2006266270764,13.492609595432187
-69.50203023839276,-381.9152891584672,14.746278643962038
-66.60936732884147,-382.195699844975,12.543528835942872
-63.98433712817496,-383.0239299251698,12.757962573540272
-61.18767416951596,-383.7564881662838,12.302111885357336
-58.95082290566643,-384.6763017051853,12.28513663392563
-57.632955375738675,-386.92991207307205,11.26856853101901
-56.23678057920188,-389.2238941723481,11.554215572337288
-56.38170490102493,-391.84444896224886,12.070691819368063
-54.750118192256195,-394.13327314611524,12.896332734622401
-44.4235852988204,-440.82421978050843,9.997216146379994
-40.125957134441705,-457.3553101234138,9.303846080987238
-29.634605010040104,-491.0620414917357,10.10036790843974
-14.697528283722932,-525.4713034043089,13.348391323671482
-2.997859849536326,-547.7935037775896,12.740744551096274
10.955079559236765,-573.6006003106013,17.187239050380374
23.244392410677392,-589.1896358258091,13.373046743704066
40.68480366692529,-609.7999682202935,13.5376689444174
62.36178397221374,-631.3333372748457,13.407808040368225
90.24772227770882,-654.4799959273078,13.01076022305026
155.9590522138751,-708.4665867323056,11.214146030996153
246.70454725023592,-786.2682149219327,10.790393031879194
286.5959808748448,-818.8130356199108,14.00249156092954
313.02533082972514,-836.7957364697941,13.265754824550873
326.59970036687446,-845.7975837499835,13.451851253365078
384.0876430349308,-881.3739201743156,13.169199544055203
435.0080243694247,-908.5830408092588,13.244768975340463
614.3132561201637,-996.8809841498733,13.23020699003646
622.5626075541368,-998.1739984112792,13.031605983570612
628.5479898563353,-998.3146729650907,13.011602999489835
633.5215905238874,-995.7696629450656,19.667556830547703
636.5104958784359,-992.3733918690123,20.74524412006489
645.1604112730711,-959.1667231405154,13.902846307484694
646.4029614858737,-953.8551631099544,12.669133706447386
650.2117335522198,-943.0885978741571,12.835675012616651
655.3096054986236,-937.5397165580653,13.424552671651098
657.2416026960709,-935.5205682450905,13.189191106483648
661.7820314092387,-932.3370463969186,14.590497329850475
667.5628392817162,-931.4315184513107,12.52175038064876
680.3720211543841,-931.7883352632634,12.34316657733211
686.3678858380881,-930.7561333398335,12.757845147539795
691.4282990445499,-929.5188284409232,12.241077567688441
694.090396690357,-926.6981312590651,12.477135679335655
696.3429817638535,-923.86380478926,13.854853718954576
698.5043949000537,-919.8700500922278,11.551746302928795
699.7767058588215,-874.046663348563,12.84544583871199
700.4822081844613,-839.3908345038071,12.672608294006986
699.1397116867884,-817.9804401737638,11.087648096645928
699.3124510184571,-812.5583907724358,11.237597625988371
698.4762697678525,-795.3084497414529,12.550048624517547
695.9458752169157,-789.7813526289538,12.685903145766671
693.9018652088707,-786.4610716584139,12.9453231219703
692.4938038873079,-784.235540737398,13.391352214313278
690.1776966720063,-782.3352139485069,13.736460656137224
686.3205190879235,-782.5013945843093,13.757669526707518
678.9221616263094,-783.1911274939775,13.3628853701
611.5602259871666,-791.7462532683276,13.290196064046809
473.3861831347167,-804.9588413387537,13.230241028999634
425.95505105052143,-811.9481240231544,13.420739281542268
418.7864900730201,-812.7613715911284,13.477902284168405
409.69430017270497,-812.6645043436438,12.228129363253815
402.78152174002025,-811.3913807217032,12.241768675563234
396.0793560582679,-809.2828011023812,12.791695781249755
386.4781220567529,-805.6949249310419,12.76584029019438
293.4717063115677,-743.4162934487686,10.978206733934345
286.6082560328359,-735.3793620006181,9.522499371249715
